Name	latitude	longitude	in_evidence	in_evidence_description	storytelling_path	storytelling_path_description	Type	Note	Date	Year	Alpinist	Guide	Expedition_members	Reference	altitude_span	altitude	SOIUSA	SOIUSA_Grande_Parte	SOIUSA_Grande_Settore	SOIUSA_Sezione	SOIUSA_Sottosezione	SOIUSA_Supergruppo	SOIUSA_Gruppo	SOIUSA_Sottogruppo	SOIUSA_Codice
Pala di San Martino	46.25375	11.85031	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent		23 giugno 1878	1878	Julius Meurer, Alfredo Pallavicini, Michele Bettega, Arcangelo Dimai, Santo Siorpaes		Julius Meurer, Alfredo Pallavicini, Michele Bettega, Arcangelo Dimai, Santo Siorpaes		2500	2987	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Feltre e delle Pale di San Martino > Gruppo Pale di San Martino-Feruc > Pale di San Martino > Gruppo della Pala di San Martino	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Feltre e delle Pale di San Martino	Gruppo Pale di San Martino-Feruc	Pale di San Martino	Gruppo della Pala di San Martino	II/C-31.IV-A.1.f
Palon de la Mare	46.417222	10.617222	FALSE				First absolute ascent		10 settembre1867	1867	Julius von Payer	guida Johann Pinggera, portatore Antonio Chiesa	Julius von Payer, guida Johann Pinggera, portatore Antonio Chiesa		3500	3703	Alpi Orientali > Alpi Sud-orientali > Alpi Retiche meridionali > Alpi dell'Ortles > Gruppo Ortles-Cevedale > Gruppo del Cevedale > Gruppo Cevedale-San Matteo	Alpi Orientali	Alpi Sud-orientali	Alpi Retiche meridionali	Alpi dell'Ortles	Gruppo Ortles-Cevedale	Gruppo del Cevedale	Gruppo Cevedale-San Matteo	II/C-28.I-A.2.a
Pelmo	46.4202	12.1332	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent		19 settembre 1857	1857	John Ball		John Ball		3000	3168	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Zoldo > Dolomiti Settentrionali di Zoldo > Gruppo del Pelmo > Gruppo del Pelmoin senso stretto	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Zoldo	Dolomiti Settentrionali di Zoldo	Gruppo del Pelmo	Gruppo del Pelmoin senso stretto	II/C-31.II-A.1.a
Pic Coolidge	44.910556	6.356944	FALSE				First absolute ascent		14 luglio1877	1877	William Auguste Coolidge, Christian Almer, Ulrich Almer		William Auguste Coolidge, Christian Almer, Ulrich Almer		3500	3775	Alpi Occidentali > Alpi Sud-occidentali > Alpi del Delfinato > Massiccio des Écrins > Catena Écrins-Grande Ruine-Agneaux > Gruppo degli Écrins > 	Alpi Occidentali	Alpi Sud-occidentali	Alpi del Delfinato	Massiccio des Écrins	Catena Écrins-Grande Ruine-Agneaux	Gruppo degli Écrins		I/A-5.III-A.5
Pic d'Olan	44.860389	6.195538	FALSE				First absolute ascent		1880	1880					3500	3564	Alpi Occidentali > Alpi Sud-occidentali > Alpi del Delfinato > Massiccio des Écrins > Catena Olan-Rouies > Gruppo dell'Olan > Nodo dell'Olan	Alpi Occidentali	Alpi Sud-occidentali	Alpi del Delfinato	Massiccio des Écrins	Catena Olan-Rouies	Gruppo dell'Olan	Nodo dell'Olan	I/A-5.III-D.15.a
Pic Tyndall	45.974944	7.654389	FALSE				First absolute ascent		1862	1862	John Tyndall, Jean-Antoine Carrel	due guide	John Tyndall, Jean-Antoine Carrel, due guide		4000	4241	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Weisshorn e del Cervino > Catena Bouquetins-Cervino > Gruppo Dents d'Hérens-Cervino > Sottogruppo del Cervino	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Weisshorn e del Cervino	Catena Bouquetins-Cervino	Gruppo Dents d'Hérens-Cervino	Sottogruppo del Cervino	I/B-9.II-A.2.b
Piz Boè	46.508886	11.828281	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent		30 luglio1864	1864	Paul Grohmann		Paul Grohmann	Fabio Favaretto e Andrea Zannini, Gruppo di Sella, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1991.	3000	3152	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Gardena e di Fassa > Dolomiti di Gardena > Gruppo del Sella > Sottogruppo del Boè	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Gardena e di Fassa	Dolomiti di Gardena	Gruppo del Sella	Sottogruppo del Boè	II/C-31.III-A.1.a
Pizzo Cengalo	46.29475	9.602056	FALSE				First absolute ascent		25 luglio 1866	1866	Douglas William Freshfield, Charles Comyns Tucker	François Devouassoud	Douglas William Freshfield, Charles Comyns Tucker, François Devouassoud		3000	3369	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche occidentali > Alpi del Bernina > Monti della Val Bregaglia > Gruppo del Castello > Catena Pizzo Badile-Pizzo Cengalo	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche occidentali	Alpi del Bernina	Monti della Val Bregaglia	Gruppo del Castello	Catena Pizzo Badile-Pizzo Cengalo	II/A-15.III-B.3.e
Pizzo Rotondo (Cantone Ticino)	46.517	8.465833	FALSE				First absolute ascent		1888	1888	William Auguste Coolidge, Christian Almer		William Auguste Coolidge, Christian Almer		3000	3192	Alpi Occidentali > Alpi Nord-occidentali > Alpi Lepontine > Alpi del Monte Leone e del San Gottardo > Catena Rotondo-Centrale-Piz Blas > Catena Gallina-Rotondo-Lucendro > Gruppo del Rotondo	Alpi Occidentali	Alpi Nord-occidentali	Alpi Lepontine	Alpi del Monte Leone e del San Gottardo	Catena Rotondo-Centrale-Piz Blas	Catena Gallina-Rotondo-Lucendro	Gruppo del Rotondo	I/B-10.I-B.6.b
Pizzo Tresero	46.39028	10.54317	FALSE				First absolute ascent		28 giugno 1865	1865	Francis Fox Tuckett, Douglas William Freshfield, James Backhouse, George Henry Fox, François Devouassoud, Peter Michel		Francis Fox Tuckett, Douglas William Freshfield, James Backhouse, George Henry Fox, François Devouassoud, Peter Michel		3500	3602	Alpi Orientali > Alpi Sud-orientali > Alpi Retiche meridionali > Alpi dell'Ortles > Gruppo Ortles-Cevedale > Gruppo del Cevedale > Gruppo Cevedale-San Matteo	Alpi Orientali	Alpi Sud-orientali	Alpi Retiche meridionali	Alpi dell'Ortles	Gruppo Ortles-Cevedale	Gruppo del Cevedale	Gruppo Cevedale-San Matteo	II/C-28.I-A.2.a
Pointe Haute de Mary	44.575278	6.894722	FALSE				First absolute ascent		luglio1879	1879	William Auguste Coolidge, Christin Almer, Ulrich Almer		William Auguste Coolidge, Christin Almer, Ulrich Almer		3000	3212	Alpi Occidentali > Alpi Sud-occidentali > Alpi Cozie > Alpi del Monviso > Gruppo del Chambeyron > Gruppo del Mongioia > Costiera del Mongioia	Alpi Occidentali	Alpi Sud-occidentali	Alpi Cozie	Alpi del Monviso	Gruppo del Chambeyron	Gruppo del Mongioia	Costiera del Mongioia	I/A-4.I-A.3.a
Punta dei Tre Scarperi	46.7297	12.336	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent		18 luglio1869	1869	Paul Grohmann, Peter Salcher, Franz Innerkofler		Paul Grohmann, Peter Salcher, Franz Innerkofler		3000	3152	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Sesto, di Braies e d'Ampezzo > Dolomiti di Sesto > Gruppo dei Tre Scarperi > Bastione principale dei Tre Scarperi	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Sesto, di Braies e d'Ampezzo	Dolomiti di Sesto	Gruppo dei Tre Scarperi	Bastione principale dei Tre Scarperi	II/C-31.I-A-2.b
Punta Gastaldi	44.680833	7.076389	FALSE				First absolute ascent		16 agosto1884	1884	William Auguste Coolidge, Ulrich Almer 		William Auguste Coolidge, Ulrich Almer 		3000	3214	Alpi Occidentali > Alpi Sud-occidentali > Alpi Cozie > Alpi del Monviso > Gruppo del Monviso > Gruppo del Monvisopropriamente detto > Nodo del Monviso	Alpi Occidentali	Alpi Sud-occidentali	Alpi Cozie	Alpi del Monviso	Gruppo del Monviso	Gruppo del Monvisopropriamente detto	Nodo del Monviso	I/A-4.I-C.8.a
Punta Gelas di Lourousa	44.182094	7.3061	FALSE				First absolute ascent		18 agosto1879	1879	William Auguste Coolidge, Christian Almer, Ulrich Almer		William Auguste Coolidge, Christian Almer, Ulrich Almer		3000	3261	Alpi Occidentali > Alpi Sud-occidentali > Alpi Marittime e Prealpi di Nizza > Alpi Marittime > Catena Argentera-Pépoiri-Matto > Gruppo dell'Argentera > Massiccio dell'Argentera	Alpi Occidentali	Alpi Sud-occidentali	Alpi Marittime e Prealpi di Nizza	Alpi Marittime	Catena Argentera-Pépoiri-Matto	Gruppo dell'Argentera	Massiccio dell'Argentera	I/A-2.1-B.6.a
Punta Grohmann	46.304	11.444	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent		1880	1880	Michel Innerkofler		Michel Innerkofler		3000	3114	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Gardena e di Fassa > Dolomiti di Gardena > Gruppo del Sassolungo > Settore del Sasso Levante	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Gardena e di Fassa	Dolomiti di Gardena	Gruppo del Sassolungo	Settore del Sasso Levante	II/C-31.III-A.2.b
Punta Penia	46.4344	11.849606	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent		28 settembre 1864	1864	Paul Grohmann, Angelo Dimai, Fulgenzio Dimai		Paul Grohmann, Angelo Dimai, Fulgenzio Dimai		3000	3343	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Gardena e di Fassa > Dolomiti di Fassa > Gruppo della Marmolada > Massiccio della Marmolada	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Gardena e di Fassa	Dolomiti di Fassa	Gruppo della Marmolada	Massiccio della Marmolada	II/C-31.III-B.9.b
Punta San Matteo	46.378889	10.566667	FALSE				First absolute ascent		28 giugno 1865	1865	James Backhouse, George Henry Fox, Douglas William Freshfield, Francis Fox Tuckett	François Devouassoud, Peter Michel	James Backhouse, George Henry Fox, Douglas William Freshfield, Francis Fox Tuckett, François Devouassoud, Peter Michel		3500	3678	Alpi Orientali > Alpi Sud-orientali > Alpi Retiche meridionali > Alpi dell'Ortles > Gruppo Ortles-Cevedale > Gruppo del Cevedale > Gruppo Cevedale-San Matteo	Alpi Orientali	Alpi Sud-orientali	Alpi Retiche meridionali	Alpi dell'Ortles	Gruppo Ortles-Cevedale	Gruppo del Cevedale	Gruppo Cevedale-San Matteo	II/C-28.I-A.2.a
Punta Sommeiller	45.1283	6.8524	FALSE				First absolute ascent		documentata:1871	1871	Martino Baretti		Martino Baretti	Roberto Aruga, Pietro Losana e Alberto Re, Alpi Cozie Settentrionali, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1985.	3000	3333	Alpi Occidentali > Alpi Sud-occidentali > Alpi Cozie > Alpi del Moncenisio > Catena Bernauda-Pierre Menue-Ambin > Gruppo d'Ambin > Gruppo Sommeiller-Vallonetto	Alpi Occidentali	Alpi Sud-occidentali	Alpi Cozie	Alpi del Moncenisio	Catena Bernauda-Pierre Menue-Ambin	Gruppo d'Ambin	Gruppo Sommeiller-Vallonetto	I/A-4.III-B.6.b
Roche de la Muzelle	44.930758	6.106761	FALSE				First absolute ascent		2 luglio1875	1875	William Auguste Coolidge, Christian Almer, Ulrich Almer		William Auguste Coolidge, Christian Almer, Ulrich Almer		3000	3465	Alpi Occidentali > Alpi Sud-occidentali > Alpi del Delfinato > Massiccio des Écrins > Catena Arias-Muzelle > Gruppo della Muzelle > Catena Swan-Muzelle	Alpi Occidentali	Alpi Sud-occidentali	Alpi del Delfinato	Massiccio des Écrins	Catena Arias-Muzelle	Gruppo della Muzelle	Catena Swan-Muzelle	I/A-5.III-E.18.a
Sass de Stria	46.521	11.997	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent		12 agosto 1899	1899	Giovanni Siorpaes		Giovanni Siorpaes		2000	2477	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Sesto, di Braies e d'Ampezzo > Dolomiti Ampezzane > Gruppo del Nuvolau > Dorsale del Nuvolau	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Sesto, di Braies e d'Ampezzo	Dolomiti Ampezzane	Gruppo del Nuvolau	Dorsale del Nuvolau	II/C-31.I-D.16.a
Sasso Bianco	46.422949	11.998015	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent		19º novembre2005	2005					2000	2397	Alpi orientali > Alpi Nord-orientali > Dolomiti > Alpi orientali Alleghe Rocca Pietore (BL) > Catena Rocciamelone-Charbonnel > Gruppo della Marmolada > Catena dell'Auta	Alpi orientali	Alpi Nord-orientali	Dolomiti	Alpi orientali Alleghe Rocca Pietore (BL)	Catena Rocciamelone-Charbonnel	Gruppo della Marmolada	Catena dell'Auta	
Sasso di Bosconero	46.3375	12.2675	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent		19 settembre 1878	1878	Santo Siorpaes, Cesare Tomè, Gottfried Merzbacher		Santo Siorpaes, Cesare Tomè, Gottfried Merzbacher		2000	2468	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Zoldo > Dolomiti Settentrionali di Zoldo > Gruppo del Bosconero > Gruppo Bosconero-Rocchette	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Zoldo	Dolomiti Settentrionali di Zoldo	Gruppo del Bosconero	Gruppo Bosconero-Rocchette	II/C-31.II-A.2.b
Sasso Pordoi	46.500612	11.806412	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent		XIX secolo					Fabio Favaretto e Andrea Zannini, Gruppo di Sella, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1991.	2500	2950	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Gardena e di Fassa > Dolomiti di Gardena > Gruppo del Sella > Sottogruppo del Boè	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Gardena e di Fassa	Dolomiti di Gardena	Gruppo del Sella	Sottogruppo del Boè	II/C-31.III-A.1.a
Sasso Vernale	46.418611	11.840833	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent		12 luglio 1878	1878	Santo Siorpaes, Cesare Tomè, Gottfried Merzbacher, Giorgio Bernard		Santo Siorpaes, Cesare Tomè, Gottfried Merzbacher, Giorgio Bernard		3000	3058	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Gardena e di Fassa > Dolomiti di Fassa > Gruppo della Marmolada > Sottogruppo Ombretta-Ombrettola	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Gardena e di Fassa	Dolomiti di Fassa	Gruppo della Marmolada	Sottogruppo Ombretta-Ombrettola	II/C-31.III-B.9.c
Sassolungo	46.524722	11.735278	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent		13 agosto1869	1869	Paul Grohmann, Franz Innerkofler, Peter Salcher		Paul Grohmann, Franz Innerkofler, Peter Salcher		3000	3181	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Gardena e di Fassa > Dolomiti di Gardena > Gruppo del Sassolungo > Massiccio del Sassolungo	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Gardena e di Fassa	Dolomiti di Gardena	Gruppo del Sassolungo	Massiccio del Sassolungo	II/C-31.III-A.2.a
Schiara	46.231072	12.181951	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent		17 settembre1878	1878	Gottfried Merzbacher	Cesare Tomè, Santo Siorpaes	Gottfried Merzbacher, Cesare Tomè, Santo Siorpaes		2500	2565	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Zoldo > Dolomiti Meridionali di Zoldo > Gruppo della Schiara > Catena Schiara-Pelf	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Zoldo	Dolomiti Meridionali di Zoldo	Gruppo della Schiara	Catena Schiara-Pelf	II/C-31.II-B.7.b/a
Strahlhorn	46.01326	7.902389	FALSE				First absolute ascent		15 agosto 1854	1854					4000	4190	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Mischabel e del Weissmies > Massiccio del Mischabel > Massiccio dello Strahlhorn > Gruppo Strahlhorn - Allalinhorn	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Mischabel e del Weissmies	Massiccio del Mischabel	Massiccio dello Strahlhorn	Gruppo Strahlhorn - Allalinhorn	I/B-9.V-A.1.a
Testa della Tribolazione	45.51693	7.29904	FALSE				First absolute ascent		11 agosto 1885	1885	William Auguste Coolidge, George Yeld	Christian Almer, Séraphin Henry, Joseph-Antoine Jeantet	William Auguste Coolidge, George Yeld, Christian Almer, Séraphin Henry, Joseph-Antoine Jeantet	[1]	3500	3642	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Gran Paradiso > Massiccio del Gran Paradiso > Gruppo Gran Paradiso-Roccia Viva > Sottogruppo del Gran Paradiso	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Gran Paradiso	Massiccio del Gran Paradiso	Gruppo Gran Paradiso-Roccia Viva	Sottogruppo del Gran Paradiso	I/B-7.IV-A.2.a
Titlis	46.771944	8.437778	FALSE				First absolute ascent		1739	1739					3000	3238	Alpi Occidentali > Alpi Nord-occidentali > Alpi bernesi > Alpi Urane > Catena del Titlis-Urirostock > Gruppo del Titlis-Spannort > Catena Tällistock-Titlis	Alpi Occidentali	Alpi Nord-occidentali	Alpi bernesi	Alpi Urane	Catena del Titlis-Urirostock	Gruppo del Titlis-Spannort	Catena Tällistock-Titlis	I/B-12.I-B.3.c
Torre di Castelfranco	45.97289	7.87947	FALSE				First absolute ascent		1861	1861	Francis Fox Tuckett, John Tyndall		Francis Fox Tuckett, John Tyndall		3500	3629	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Monte Rosa > Gruppo del Monte Rosa > Gruppo della Cima di Jazzi > Sottogruppo della Cima di Jazzi	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Monte Rosa	Gruppo del Monte Rosa	Gruppo della Cima di Jazzi	Sottogruppo della Cima di Jazzi	I/B-9.III-A.3.a
Tour Ronde	45.845142	6.906388	FALSE				First absolute ascent		22 luglio1867	1867	James Backhouse, T.H. Carson, Douglas William Freshfield, Charles Comyns Tucker, Daniel Balleys, Michel-Clément Payot		James Backhouse, T.H. Carson, Douglas William Freshfield, Charles Comyns Tucker, Daniel Balleys, Michel-Clément Payot		3500	3798	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio del Monte Bianco > Gruppo del Monte Bianco > Gruppo della Tour Ronde	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio del Monte Bianco	Gruppo del Monte Bianco	Gruppo della Tour Ronde	I/B-7.V-B.2.f/a
Tre Cime di Lavaredo	46.6186	12.3055	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent		21 agosto 1869	1869	Paul Grohmann	Franz Innerkofler, Peter Salcher	Paul Grohmann, Franz Innerkofler, Peter Salcher		2500	2999	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Sesto, di Braies e d'Ampezzo > Dolomiti di Sesto > Gruppo delle Tre Cime di Lavaredo > 	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Sesto, di Braies e d'Ampezzo	Dolomiti di Sesto	Gruppo delle Tre Cime di Lavaredo		II/C-31.I-A.4
Trettachspitze	47.30362	10.29545	FALSE				First absolute ascent		1855	1855					2500	2595	Alpi Orientali > Alpi Nord-orientali > Alpi Bavaresi > Alpi dell'Algovia > Alpi dell'Algoviain senso stretto > Catena Mädelegabel-Hochlicht > Gruppo del Mädelegabel, Costiera del Mädelegabel	Alpi Orientali	Alpi Nord-orientali	Alpi Bavaresi	Alpi dell'Algovia	Alpi dell'Algoviain senso stretto	Catena Mädelegabel-Hochlicht	Gruppo del Mädelegabel, Costiera del Mädelegabel	II/B-22.II-C.6.c/a
Uia di Bessanese	45.3	7.11667	FALSE				First absolute ascent		31 agosto1857	1857	Antonio Tonini		Antonio Tonini	Giulio Berutto e Lino Fornelli, Alpi Graie Meridionali, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1980, ISBN 978-88-365-0077-2.	3500	3601	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi di Lanzo e dell'Alta Moriana > Catena Arnas-Ciamarella > Gruppo Bessanese-Albaron > Cresta della Bessanese	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi di Lanzo e dell'Alta Moriana	Catena Arnas-Ciamarella	Gruppo Bessanese-Albaron	Cresta della Bessanese	I/B-7.I-B.5.a
Vezzana	46.29	11.83	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent		23 giugno1878	1878	Douglas William Freshfield, Charles Comyns Tucker		Douglas William Freshfield, Charles Comyns Tucker		3000	3192	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Feltre e delle Pale di San Martino > Gruppo Pale di San Martino-Feruc > Gruppo delle Pale di San Martino > Gruppo della Vezzana	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Feltre e delle Pale di San Martino	Gruppo Pale di San Martino-Feruc	Gruppo delle Pale di San Martino	Gruppo della Vezzana	II/C-31.IV-A.1.e
Watzmann	47.555	12.923	FALSE				First absolute ascent		agosto1800	1800	Valentin Stanič		Valentin Stanič		2500	2713	Alpi Orientali > Alpi Nord-orientali > Alpi Settentrionali Salisburghesi > Alpi di Berchtesgaden > Alpi Centro-occidentali di Berchtesgaden > Watzmannstock > Watzmann	Alpi Orientali	Alpi Nord-orientali	Alpi Settentrionali Salisburghesi	Alpi di Berchtesgaden	Alpi Centro-occidentali di Berchtesgaden	Watzmannstock	Watzmann	II/B-24.III-C.5.a
Weisshorn	46.101299	7.716001	FALSE				First absolute ascent		19 agosto 1861	1861	John Tyndall	J. J. Bennen, Ulrich Wenger	John Tyndall, J. J. Bennen, Ulrich Wenger		4500	4505	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Weisshorn e del Cervino > Catena Weisshorn-Zinalrothorn > Gruppo del Weisshorn > 	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Weisshorn e del Cervino	Catena Weisshorn-Zinalrothorn	Gruppo del Weisshorn		I/B-9.II-D.8
Wildspitze	46.885278	10.867222	FALSE				First absolute ascent		1861	1861	Leander Klotz		Leander Klotz		3500	3772	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche orientali > Alpi Venoste > Alpi Venoste Orientali > Gruppo della Palla Bianca > Nodo del Wildspitze	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche orientali	Alpi Venoste	Alpi Venoste Orientali	Gruppo della Palla Bianca	Nodo del Wildspitze	II/A-16.I-A.2.b
Zugspitze	47.416667	10.983333	FALSE				First absolute ascent		27 agosto1820	1820	Josef Naus		Josef Naus		2500	2962	Alpi Orientali > Alpi Nord-orientali > Alpi calcaree nordtirolesi > Monti di Mieming e del Wetterstein > Monti del Wetterstein > Catena dello Zugspitze > Massiccio dello Zugspitze	Alpi Orientali	Alpi Nord-orientali	Alpi calcaree nordtirolesi	Monti di Mieming e del Wetterstein	Monti del Wetterstein	Catena dello Zugspitze	Massiccio dello Zugspitze	II/A-21.III-B.4.a
Aiguille de la Grande Sassière	45.505108	6.999637	FALSE				First absolute ascent		5 agosto 1860	1860	William Mathews, Michel Croz		William Mathews, Michel Croz	Alessandro Giorgetta, Alpi Graie Centrali, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1985.	3500	3751	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi della Grande Sassière e del Rutor > Catena Grande Sassière-Tsanteleina > Gruppo Grande Sassière-Tsanteleina > Nodo della Grande Sassière	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi della Grande Sassière e del Rutor	Catena Grande Sassière-Tsanteleina	Gruppo Grande Sassière-Tsanteleina	Nodo della Grande Sassière	I/B-7.III-A.2.c
Aiguille de Leschaux	45.888383	7.005866	FALSE				First absolute ascent		14 luglio 1872	1872	James Aubrey-Garth-Marshall, Thomas Stuard Kennedy	Johann Fischer, Julien Grange	James Aubrey-Garth-Marshall, Thomas Stuard Kennedy, Johann Fischer, Julien Grange		3500	3759	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio del Monte Bianco > Catena Rochefort-Grandes Jorasses-Leschaux > Gruppo di Leschaux	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio del Monte Bianco	Catena Rochefort-Grandes Jorasses-Leschaux	Gruppo di Leschaux	I/B-7.V-B.4.c
Albaron di Sea	45.335163	7.164452	FALSE				First absolute ascent		19 luglio 1886	1886	Giuseppe Corrà	Michele Ricchiardi	Giuseppe Corrà, Michele Ricchiardi		3000	3262	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi di Lanzo e dell'Alta Moriana > Catena Arnas-Ciamarella > Gruppo Ciamarella-Mondrone > Sottogruppo della Ciamarella	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi di Lanzo e dell'Alta Moriana	Catena Arnas-Ciamarella	Gruppo Ciamarella-Mondrone	Sottogruppo della Ciamarella	I/B-7.I-B.6.a
Castore (monte)	45.922222	7.794444	FALSE				First absolute ascent		23 agosto 1861	1861	Frederick William Jacomb, William Mathews	Michel Croz	Frederick William Jacomb, William Mathews, Michel Croz		4000	4228	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Monte Rosa > Gruppo del Monte Rosa > Catena Breithorn-Lyskamm > 	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Monte Rosa	Gruppo del Monte Rosa	Catena Breithorn-Lyskamm		I/B-9.III-A.1
Cima Leitosa	45.34966	7.24344	FALSE				First absolute ascent		13 luglio 1886	1886	Giuseppe Corrà, Michele Ricchiardi		Giuseppe Corrà, Michele Ricchiardi		2500	2870	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi di Lanzo e dell'Alta Moriana > Catena Arnas-Ciamarella > Gruppo Ciamarella-Mondrone > Cresta del Mondrone	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi di Lanzo e dell'Alta Moriana	Catena Arnas-Ciamarella	Gruppo Ciamarella-Mondrone	Cresta del Mondrone	I/B-7.I-B.6.b
Cima Tosa	46.156522	10.871128	FALSE				First absolute ascent		20 luglio 1865	1865	Giuseppe Loss	con 6 compagni	Giuseppe Loss, con 6 compagni		3000	3136	Alpi Orientali > Alpi Sud-orientali > Alpi Retiche meridionali > Dolomiti di Brenta > Gruppo di Brenta e della Paganella > Gruppo di Brenta > Massiccio della Tosa	Alpi Orientali	Alpi Sud-orientali	Alpi Retiche meridionali	Dolomiti di Brenta	Gruppo di Brenta e della Paganella	Gruppo di Brenta	Massiccio della Tosa	II/C-28.IV-A.1.f
